id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage,elementtype
1,R27W625,27 Ohm,,27.0,11,0.0625,-,,Ω,-,resistor
2,R120,120 Ohm,,120.0,1509,0.063,-,,Ω,-,resistor
3,1k5W063,"1,5 KOhm",,1500.0,7,0.063,-,,Ω,-,resistor
4,0R,0 Ohm,,0.0,1197,0.063,-,,Ω,-,resistor
5,750R,750 Ohm,,750.0,5,0.1,-,,Ω,-,resistor
6,4K71W25,"4,7 KOhm",,4700.0,1,1.25,-,,Ω,-,resistor
7,10KW25,10 KOhm,,10000.0,5,0.25,-,,Ω,-,resistor
8,1K2W01,"1,2 KOhm",,1200.0,4,0.1,-,,Ω,-,resistor
9,R27,27 Ohm,,27.0,101,0.063,-,,Ω,-,resistor
10,R22,22 Ohm,,22.0,170,0.125,-,,Ω,-,resistor
11,56K2,"56,2 KOhm",,56200.0,100,0.1,-,,Ω,-,resistor
12,1MW01,1 MOhm,,1000000.0,370,0.1,-,,Ω,-,resistor
13,330K,330 KOhm,,330000.0,70,0.063,-,,Ω,-,resistor
14,R330,330 Ohm,,330.0,95,0.063,-,,Ω,-,resistor
15,4K99,"4,99 KOhm",,4990.0,1000,0.1,-,,Ω,-,resistor
16,1M1W,1 MOhm,,1000000.0,15,1.0,-,,Ω,-,resistor
17,44K2,"44,2 KOhm",,44200.0,170,0.0625,-,,Ω,-,resistor
18,113K,113 KOhm,,113000.0,75,0.1,-,,Ω,-,resistor
19,R100W25,100 Ohm,,100.0,100,0.25,-,,Ω,-,resistor
20,200K,200 KOhm,,200000.0,35,0.1,-,,Ω,-,resistor
21,1K,1 KOhm,,1000.0,100,0.063,-,,Ω,-,resistor
22,3KW063,3 KOhm,,3000.0,700,0.063,-,,Ω,-,resistor
23,3K3,"3,3 KOhm",,3300.0,1650,0.0625,-,,Ω,-,resistor
24,R1,1 Ohm,,1.0,450,0.063,-,,Ω,-,resistor
25,47K,47 KOhm,,47000.0,508,0.063,-,,Ω,-,resistor
26,3KW01,3 KOhm,,3000.0,20,0.1,-,,Ω,-,resistor
27,487K,487 KOhm,,487000.0,4,0.1,-,,Ω,-,resistor
28,18K,18 KOhm,,18000.0,100,0.063,-,,Ω,-,resistor
29,10KW063,10 KOhm,,10000.0,5150,0.063,-,,Ω,-,resistor
30,270K,270 KOhm,,270000.0,100,0.063,-,,Ω,-,resistor
31,430K,430 KOhm,,430000.0,100,0.063,-,,Ω,-,resistor
32,150K,150 KOhm,,150000.0,200,0.063,-,,Ω,-,resistor
33,12K1,"12,1 KOhm",,12100.0,580,0.063,-,,Ω,-,resistor
