id,localid,name,description,value,quantity,location,datasheet,unit,powerdissipation,maxvoltage
1,12nh,744761112A,,1.2e-08,12,-,,H,,
2,68uh,7447732168,,6.8e-05,12,-,,H,,
3,27uh,744025270,,2.7e-05,11,-,,H,,
4,47uh24,74404024470,,4.7e-05,14,-,,H,,
5,18uh,74404024180,,1.8e-05,10,-,,H,,
6,33uh,74404024330,,3.3e-05,12,-,,H,,
8,470uh,744242471,,0.00047,6,-,,H,,
9,13uh,744235801,,1.0e-06,12,-,,H,,
10,47uh83,74438335470,,4.7e-05,12,-,,H,,
11,dl1k5,782853152,Dlawik 1.5 K? @ 100 MHz,0.0,10,-,https://www.we-online.com/catalog/datasheet/782853152.pdf,H,,
12,1uh10,74438321010,,1.0e-06,10,-,,H,,
13,2u2h,744764902,,2.0e-06,11,-,,H,,
14,2u7h,7440320027,,2.0e-06,12,-,,H,,
15,1uh,744235601,,1.0e-06,11,-,,H,,
16,22uh,744252220,,2.2e-05,11,-,,H,,
17,2h2ho,744032002,,2.0e-06,12,-,,H,,
20,4m7h,744220,,0.004,12,-,,H,,
21,11uh,744273102,,1.1e-05,2,-,,H,,
22,10uh11,744281100,,1.0e-05,1,-,,H,,
23,1mh86,74404086102,,0.001,12,-,,H,,
24,1m5h,74404064152,,0.001,12,-,,H,,
25,1mh62,7447462102,,0.001,12,-,,H,,
26,6m5h,744229,,0.006,12,-,,H,,
27,330uh,912033,,0.00033,1,-,,H,,
28,1mho,744743102,,0.001,14,-,,H,,
29,1mha,74404064102,,0.001,12,-,,H,,
30,6m8h,7447231682,,0.006,12,-,,H,,
31,150uh,744062151,,0.00015,12,-,,H,,
33,3m3h,7447211332,,0.003,12,-,,H,,
34,1mh71,7447471102,,0.001,2,-,,H,,
35,1mh40,74404086102,,0.001,2,-,,H,,
36,47uho,DPTO047A3,,4.7e-05,1,-,,H,,
37,dl1k,FR3,Dlawik 1K? @25MHz,0.0,18,-,,H,,
38,2u4h,4606-RC,,2.0e-06,1,-,,H,,
39,100nh,9250A-101-RC,,1.0e-07,1,-,,H,,
40,220nh,9230-04-RC,,2.2e-07,1,-,,H,,
41,1uho,4602-RC,,1.0e-06,1,-,,H,,
42,4u7hrc,RL622-4R7K-RC,,4.0e-06,2,-,,H,,
43,10uho,COIL1010-0.01,,1.0e-05,2,-,,H,,
44,100uh,5250-RC,,0.0001,1,-,,H,,
45,47mh,22R476C,,0.047,1,-,,H,,
46,2m2h,22R225C,,0.002,1,-,,H,,
47,1000uh,5258-RC,,0.001,1,-,,H,,
48,47uh,22R473C,,4.7e-05,1,-,,H,,
49,470nh,9230-12-RC,,4.7e-07,1,-,,H,,
50,10uhrc,4612-RC,,1.0e-05,1,-,,H,,
51,100mh,5900-104-RC,,0.1,1,-,,H,,
52,ld2r5,744230251,"Dlwaik 2,5 Ohm",0.0,3,-,,H,,
53,470uho,744242471,,0.00047,10,-,,H,,
54,tr1-1,749010310,"Transformator 10/100Base-T, SMD, 300?H, 1:1",0.0,12,-,,H,,
55,WE-CNSW,744232601,Filtr WE-CNSW,0.0,10,-,,H,,
56,f11uh,744235110,Filtr 11 uH,0.0,11,-,,H,,
57,HA3586-BL,HA3586-BL,Transformator,0.0,2,-,,H,,
58,22uho,7447629220,,2.2e-05,19,-,,H,,
