id,localid,name,description,value,quantity,location,datasheet,unit,powerdissipation,maxvoltage
1,hi2512,"HI 2,5/12",,2.5,999,-,,mm,,
2,hi2075,"HI 2x0,75",,0.75,999,-,,mm,,
3,DPST250,Wlacznik 250V DPST,DPST,250.0,2,-,,V,,
4,SPTT250,Wlacznik 250V SPTT,SPTT,250.0,3,-,,V,,
5,SPST,Przycisk SPST,SPST,0.0,1,-,,,,
6,dm425zz,Dystans M4 25mm,M4,25.0,40,-,,mm,,
7,dm445zz,Dystans M4 45mm,M4,45.0,19,-,,mm,,
8,dm450zz,Dystans M4 50mm,M4,50.0,15,-,,mm,,
9,dm310mz,Dystans M3 10mm M-Z,M3,10.0,13,-,,mm,,
10,dm320mz,Dystans M3 20mm M-Z,M3,20.0,26,-,,mm,,
11,dm35zz,Dystans M3 5mm Z-Z,M3,5.0,13,-,,mm,,
12,dm316mz,Dystans M3 16mm M-Z,M3,16.0,32,-,,mm,,
13,dm314mz,Dystans M3 14mm M-Z,M3,14.0,6,-,,mm,,
14,dm325zz,Dystans M3 25mm Z-Z,M3,25.0,10,-,,mm,,
15,dm340mz,Dystans M3 40mm M-Z,M3,40.0,2,-,,mm,,
16,dm330mz,Dystans M3 30mm M-Z,M3,30.0,4,-,,mm,,
17,dm320zz,Dystans M3 20mm Z-Z,M3,20.0,30,-,,mm,,
18,dm325mz,Dystans M3 25mm M-Z,M3,25.0,6,-,,mm,,
19,wm36,Wkret M3 6mm,M3,6.0,23,-,,mm,,
20,dm36mz,Dystans M3 6mm M-Z,M3,6.0,9,-,,mm,,
21,dm312mz,Dystans M3 12mm M-Z,M3,12.0,10,-,,mm,,
22,dm38,Dystans M3 8mm,M3,8.0,8,-,,mm,,
23,koi25m5,"KOI 1,5-2,5 M5",M5,2.5,89,-,,mm,,
24,koi25m4,"KOI 1,5-2,5 M4",M4,2.5,63,-,,mm,,
25,koi256m6,"KOI 2,5-6 M6",M6,2.5,88,-,,mm,,
26,koi25m6,"KOI 2,5 M6",M6,2.5,164,-,,mm,,
27,koi25m8,"KOI 2,5-6 M8",M8,2.5,85,-,,mm,,
29,kwi2535,"KWI 2,5/3,5",,2.5,76,-,,mm,,
30,ki4808,"KI 4,8-2,5/0,8",,2.5,80,-,,mm,,
31,gp2x4m254,"Goldpin listwa 2x4 M Raster 2,54mm",2X4 M,2.54,14,-,,mm,,
32,gp2x4z254,"Goldpin listwa 2x4 Z Raster 2,54mm",2x4 Z ,2.54,6,-,,mm,,
33,gp1x40m254,"Goldpin listwa 1x40 M Raster 2,54mm",1x40 M ,2.54,10,-,,mm,,
34,gp2x40m254,"Goldipn listwa 2x40 M Raster 2,54mm",2x40 M ,2.54,1,-,,mm,,
35,gp1x8m16,"Goldpin listwa 1x8 M Raster 1,6mm","1,8 M ",1.6,10,-,,mm,,
36,hi0256,"HI 0,25/6",,0.25,999,-,,mm,,
37,hi0348,"HI 0,34/8",,0.34,999,-,,mm,,
38,hi0510,"HI 0,5/10",,0.5,999,-,,mm,,
39,hi07510,"HI 0,75/10",,0.75,999,-,,mm,,
40,hi1512,"HI 1,5/12",,1.5,999,-,,mm,,
41,hi2058,"HI 2x0,5/8",,0.5,999,-,,mm,,
42,hi07512,"HI 0,75/12",,0.75,999,-,,mm,,
43,hi0758,"HI 2x0,75/8",,0.75,999,-,,mm,,
44,hi218,HI 2x1/8,,1.0,999,-,,mm,,
45,hi2158,"HI 2x1,5/8",,1.0,999,-,,mm,,
46,WJ15EDGRC,Zlacze WJ15EDGRC zenskie,,0.0,195,-,,,,
47,gp2x20m16,"Goldpin listwa dluga 2x20 M Raster 1,6mm",2x20 M,1.6,19,-,,mm,,
48,WJ15EDGKD,Zlacze WJ15EDGKD Meskie,,0.0,336,-,,,,
49,gp2x5m254z,"Goldpin listwa 2x5 M Raster 2,54mm zielone",2x5 M ,2.54,5,-,,mm,,
50,gp2x5m254cz,"Goldpin listwa 2x5 M Raster 2,54mm czarne",2x5 M ,2.54,20,-,,mm,,
51,gp2x20z16,"Goldpin listwa 2x20 Z Raster 1,6mm",2x20 Z,1.6,9,-,,mm,,
52,miniusb,Gniazdo mini USB,USB,0.0,4,-,,,,
54,KRJ458P8C,Konektor RJ45 8P8C,RJ45,0.0,10,-,,,,
55,ZRJ45,Zlacze RJ45,RJ45,0.0,5,-,,,,
