id,localid,name,quantity,description,location,datasheet,value,unit,powerdissipation,maxvoltage
1,1a6250v,"1,6A/250V",5,Bezpiecznik,-,,0,,,
2,6a3250v,"6,3A/250V",15,Bezpiecznik,-,,0,,,
3,1a25250v,"1,25/250V",10,Bezpiecznik,-,,0,,,
4,14D511R,14D511R,1,Warystor 320V,-,,0,,,
5,S14K250,S14K250,1,Warystor 230V,-,,0,,,
6,HO02S,HO02S,1,czujnik cisnienia,-,,0,,,
7,TH02,TH02,3,czujnik wilgotnosci,-,,0,,,
8,MAX3095,MAX3095,65,Uklad scalony,-,,0,,,
9,A6300,A6300,13,Uklad scalony,-,,0,,,
10,A5400,A5400,3,Uklad scalony,-,,0,,,
11,smsc 8720a,smsc 8720a,2,Uklad scalony,-,,0,,,
12,stm32f429,stm32f429,2,Uklad scalony,-,,0,,,
13,MAX232,MAX232,15,Uklad scalony,-,,0,,,
14,stm32f401rct6,stm32f401rct6,17,Uklad scalony,-,,0,,,
15,ltc487csw,ltc487csw,12,Uklad scalony,-,,0,,,
16,pds1040l-13,pds1040l-13,100,Dioda schottky,-,,0,,,
17,WL-SDSBSMT,WL-SDSB SMT,5,Fotodioda,-,,0,,,
18,IRWL-TIRWTHT,IR WL-TIRW THT,10,Dioda podczerwona,-,,0,,,
19,IRWL-SISWSMT,IR WL-SISW SMT,5,Dioda podczerwona,-,,0,,,
20,IRWL-TDRB5mm,IR WL-TDRB 5mm,5,Dioda podczerwona,-,,0,,,
21,IRWL-TDRB3mm,IR WL-TDRB 3mm,5,Dioda podczerwona,-,,0,,,
22,IRWL-SISW,IR WL-SISW,5,Dioda podczerwona,-,,0,,,
23,WE-CPUEMI,WE-CPU EMI,2,Suppression CPU Ferrite Plate,-,,0,,,
24,IRLML0060TRPBF,IRLML0060TRPBF,10,Tranzystor MOSFET,-,,0,,,
25,stm32f030f4p6,stm32f0 30f4p6,18,Uklad scalony,-,,0,,,
26,SC70,SC70,50,Uklad scalony2xNOT 2U4C,-,,0,,,
27,2W25V1212V,"2W 2,5V/12-12V",1,Przetwornik DC/DC,-,,0,,,
28,1N4148W-7-F,1N4148W-7-F,3200,Dioda,-,,0,,,
29,sn75176ad,sn75176ad,3,Uklad scalony,-,,0,,,
30,st26c31bdr,st26c31bdr,1,Uklad scalony,-,,0,,,
31,SOD-123F,SOD-123F,100,Uklad scalony,-,,0,,,
32,LM833DR2G,LM833DR2G,25,Uklad scalony,-,,0,,,
33,NE5532ADR,NE5532ADR,25,Uklad scalony,-,,0,,,
34,uits5a3159,uits5a3159,60,Uklad scalony,-,,0,,,
35,LM404CIM3X,LM404CIM3X,16,Uklad scalony,-,,0,,,
36,ss18,ss18,85,Dioda schottky,-,,0,,,
37,SMF30CA-DIO,SMF30CA-DIO,5,Transil,-,,0,,,
38,BC807,BC 807,100,Tranzystor,-,,0,,,
39,MCP1501T,MCP1501T,2,Uklad scalony,-,,0,,,
40,TL072,TL072,17,Uklad scalony,-,,0,,,
41,NC7SZ00M5X,NC7SZ00M5X,50,Uklad scalony,-,,0,,,
42,AM26C31CD,AM26C31CD,5,Uklad scalony,-,,0,,,
43,PTVS28VS1UR,PTVS28VS1UR,5,Uklad scalony,-,,0,,,
44,DC201,DC201,3,Dioda schottky,-,,0,,,
45,NTC10K,NTC 10 K,1,Termistor,-,,0,,,
46,STM32H753ZIT6,STM32H753ZIT6,8,Uklad scalony,-,,0,,,
47,stf203-33,stf203-33,25,Uklad scalony,-,,0,,,
48,25MHz,25MHz,17,Rezonstor Kwarcowy,-,,0,,,
49,SP485EE,SP485EE RS 485,10,Uklad scalony,-,,0,,,
50,NC7SZ126P5X,NC7SZ126P5X,30,Uklad scalony,-,,0,,,
51,32768KHz,"32,768 KHz",10,Rezonstor Kwarcowy,-,,0,,,
52,AP2127K-ADJTRG1,AP2127K-ADJTRG1,12,Uklad scalony,-,,0,,,
53,NC7SZ32P5X,NC7SZ32P5X,9,Uklad scalony,-,,0,,,
54,MMSZ5243BT1G,MMSZ5243BT1G,12,Dioda Zenera,-,,0,,,
55,CPC1017NIXYS,CPC1017N IXYS,6,Uklad scalony,-,,0,,,
56,smsc8742a,smsc8742a,4,Uklad scalony,-,,0,,,
57,NTC10KSMD,NTC 10 K? SMD,10,Termistor,-,,0,,,
58,am26c32cd,am26c32cd,10,Uklad scalony,-,,0,,,
59,ACSL-6210-00RE,ACSL-6210-00RE,9,Transoptor,-,,0,,,
60,8 MHz,8 MHz,7,Rezonator Kwarcowy,-,,0,,,
61,33VSMDSOT223,"3,3V SMD SOT223",4,Stabilizator napiecia,-,,0,,,
62,ACSL-6310-50TE,ACSL-6310-50TE,1,Transoptor,-,,0,,,
63,S1040L,S1040L,2,Dioda schottky,-,,0,,,
64,BZT52C2V0-7-F 2V,BZT52C2V0-7-F 2V,12,Dioda Zenera,-,,0,,,
65,ESDCAN01-2BLY,ESDCAN01-2BLY,100,Uklad scalony,-,,0,,,
66,USB6B1,USB6B1,25,Uklad scalony,-,,0,,,
67,MCP73871-2CCIML,MCP73871-2CCI/ML,10,Uklad scalony,-,,0,,,
68,SMBJ26CA-TR,SMBJ26CA-TR,9,Transil,-,,0,,,
69,IS42S16400J-7TLI ISSI,IS42S16400J-7TLI ISSI RAM,6,Uklad scalony RAM,-,,0,,,
70,REF3033AIDBZR,REF3033AIDBZR,5,Uklad scalony,-,,0,,,
71,ACPL-217-50AE,ACPL-217-50AE,100,Transoptor,-,,0,,,
72,FT230XQ-R USB,FT230XQ-R USB,10,Uklad scalony,-,,0,,,
73,SMAJ18A,SMAJ18A,20,Dioda,-,,0,,,
