id,localid,name,description,value,quantity,maxvoltage,location,datasheet,unit,powerdissipation
1,smd15pf,15 pF,smd,1.5e-11,4,-,-,,F,
2,smd001uf,10 nF,smd,1.0e-08,30,-,-,,F,
3,smd4u7f,"4,7 uF",smd,4.7e-06,2,-,-,,F,
4,smd10uf,10 uF,smd,1.0e-05,253,-,-,,F,
5,smd01uf,100 nF,smd,1.0e-07,16596,-,-,,F,
6,smd470pf,470 pF,smd,4.7e-10,600,-,-,,F,
7,smd1nf,1 nF,smd,1.0e-09,100,-,-,,F,
8,smd3n3f,"3,3 nF",smd,3.3e-09,100,-,-,,F,
9,smd22uf,22 uF,smd,2.2e-05,100,-,-,,F,
10,smd33uf,33 uF,smd,3.3e-05,11,-,-,,F,
11,smd10nf,10nF,smd,1.0e-08,100,-,-,,F,
12,smd47pf,47 pF,smd,4.7e-11,200,-,-,,F,
13,smd1uf,1 uF,smd,1.0e-06,23,-,-,,F,
14,smd10pf,10 pF,smd,1.0e-11,553,-,-,,F,
15,smd1n5f,"1,5 nF",smd,1.5e-09,100,-,-,,F,
16,smd4p7f,"4,7 pF",smd,4.7e-12,100,-,-,,F,
17,smd100uf,100 uF,smd,0.0001,10,-,-,,F,
18,smd30pf,30 pF,smd,3.0e-11,50,-,-,,F,
19,smd2u2f,"2,2 uF",smd,2.2e-06,580,-,-,,F,
20,smd200pf,220 pF,smd,2.2e-10,150,-,-,,F,
21,smd100nf,10 nF,smd,1.0e-08,100,-,-,,F,
22,smd15nf,15 nF,smd,1.5e-08,600,-,-,,F,
23,smd56pf,56 pF,smd,5.6e-11,500,-,-,,F,
24,smd100pf,100 pF,smd,1.0e-10,500,-,-,,F,
25,smd7pf,7 pF,smd,7.0e-12,100,-,-,,F,
26,smd18pf,18 pF,smd,1.8e-11,300,-,-,,F,
27,smd4n7f,"4,7 nF",smd,4.7e-09,200,-,-,,F,
28,smd22nf,22 nF,smd,2.2e-08,200,-,-,,F,
29,smd220nf,220 nF,smd,2.2e-07,100,-,-,,F,
30,smd8n2f,"8,2 nF",smd,8.2e-09,100,-,-,,F,
31,smd6n8f,"6,8 nF",smd,6.8e-09,100,-,-,,F,
32,smd39nf,39 nF,smd,3.9e-08,100,-,-,,F,
33,smd2n2f,"2,2 nF",smd,2.2e-09,100,-,-,,F,
34,smd47nf,47 nF,smd,4.7e-08,100,-,-,,F,
35,el470uf,470 uF,tht,0.00047,2,16,-,,F,
36,el1000uf,1000 uF,tht,0.001,2,16,-,,F,
37,el820uf,820 uF,tht,0.00082,4,25,-,,F,
38,el330uf,3300 uF,tht,0.0033,5,16,-,,F,
39,el22uf50v,22 uF,tht,2.2e-05,11,50,-,,F,
40,el10uf63v,10 uF,tht,1.0e-05,3,63,-,,F,
41,el1uf,1 uF,tht,1.0e-06,4,50,-,,F,
42,el22uf35v,22 uF,tht,2.2e-05,10,35,-,,F,
43,el10uf16v,10 uF,tht,1.0e-05,100,16,-,,F,
44,tht1uf,1 uF,tht,1.0e-06,32,-,-,,F,
45,tht47nf,47 nF,tht,4.7e-08,49,-,-,,F,
46,tht33nf,33 nF,tht,3.3e-08,50,-,-,,F,
47,tht470nf,470 nF,tht,4.7e-07,49,-,-,,F,
48,tht22nf,22 nF,tht,2.2e-08,50,-,-,,F,
49,tht330nf,330 nF,tht,3.3e-07,49,-,-,,F,
50,tht220nf,220 nF,tht,2.2e-07,47,-,-,,F,
51,tht10nf,10 nF,tht,1.0e-08,52,-,-,,F,
52,tht2n2f,"2,2 nF",tht,2.0e-09,51,-,-,,F,
53,tht100nf,100 nF,tht,1.0e-07,41,-,-,,F,
54,tft150pf,150 pF,tht,1.5e-10,49,-,-,,F,
55,tht1nf,1 nF,tht,1.0e-09,51,-,-,,F,
56,tht100pf,100 pF,tht,1.0e-10,47,-,-,,F,
57,tht680pf,680 pF,tht,6.8e-10,50,-,-,,F,
58,tht30pf,30 pF,tht,3.0e-11,49,-,-,,F,
59,tht470pf,470 pF,tht,4.7e-10,53,-,-,,F,
60,tht22pf,22 pF,tht,2.2e-11,49,-,-,,F,
61,tht330pf,330 pF,tht,3.3e-10,51,-,-,,F,
62,tht20pf,20 pF,tht,2.0e-11,48,-,-,,F,
63,tht220pf,220 pF,tht,2.2e-10,50,-,-,,F,
64,tht400pf,400 pf,tht,4.0e-10,4,-,-,,F,
65,tht4u7f,"4,7 uF",tht,4.7e-06,2,-,-,,F,
