id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage
0,R27W625,27 Ohm,,27.0,11,0.0625,-,,Ω,
1,R120,120 Ohm,,120.0,1509,0.063,-,,Ω,
2,1k5W063,"1,5 KOhm",,1500.0,7,0.063,-,,Ω,
3,0R,0 Ohm,,0.0,1197,0.063,-,,Ω,
4,750R,750 Ohm,,750.0,5,0.1,-,,Ω,
5,4K71W25,"4,7 KOhm",,4700.0,1,1.25,-,,Ω,
6,10KW25,10 KOhm,,10000.0,5,0.25,-,,Ω,
7,1K2W01,"1,2 KOhm",,1200.0,4,0.1,-,,Ω,
8,R27,27 Ohm,,27.0,101,0.063,-,,Ω,
9,R22,22 Ohm,,22.0,170,0.125,-,,Ω,
10,56K2,"56,2 KOhm",,56200.0,100,0.1,-,,Ω,
11,1MW01,1 MOhm,,1000000.0,370,0.1,-,,Ω,
12,330K,330 KOhm,,330000.0,70,0.063,-,,Ω,
13,R330,330 Ohm,,330.0,95,0.063,-,,Ω,
14,4K99,"4,99 KOhm",,4990.0,1000,0.1,-,,Ω,
15,1M1W,1 MOhm,,1000000.0,15,1.0,-,,Ω,
16,44K2,"44,2 KOhm",,44200.0,170,0.0625,-,,Ω,
17,113K,113 KOhm,,113000.0,75,0.1,-,,Ω,
18,R100W25,100 Ohm,,100.0,100,0.25,-,,Ω,
19,200K,200 KOhm,,200000.0,35,0.1,-,,Ω,
20,1K,1 KOhm,,1000.0,100,0.063,-,,Ω,
21,3KW063,3 KOhm,,3000.0,700,0.063,-,,Ω,
22,3K3,"3,3 KOhm",,3300.0,1650,0.0625,-,,Ω,
23,R1,1 Ohm,,1.0,450,0.063,-,,Ω,
24,47K,47 KOhm,,47000.0,508,0.063,-,,Ω,
25,3KW01,3 KOhm,,3000.0,20,0.1,-,,Ω,
26,487K,487 KOhm,,487000.0,4,0.1,-,,Ω,
27,18K,18 KOhm,,18000.0,100,0.063,-,,Ω,
28,10KW063,10 KOhm,,10000.0,5150,0.063,-,,Ω,
29,270K,270 KOhm,,270000.0,100,0.063,-,,Ω,
30,430K,430 KOhm,,430000.0,100,0.063,-,,Ω,
31,150K,150 KOhm,,150000.0,200,0.063,-,,Ω,
32,12K1,"12,1 KOhm",,12100.0,580,0.063,-,,Ω,
33,35K,35 KOhm,,35000.0,100,0.063,-,,Ω,
34,10KW01,10 KOhm,,10000.0,500,0.1,-,,Ω,
35,R33,33 Ohm,,33.0,10100,0.063,-,,Ω,
36,1K2W063,"1,2 KOhm",,1200.0,1000,0.063,-,,Ω,
37,4K7W063,"4,7 KOhm",,4700.0,10700,0.063,-,,Ω,
38,750K,750 KOhm,,750000.0,500,0.063,-,,Ω,
39,11K,11 KOhm,,11000.0,100,0.0625,-,,Ω,
40,R220,220 Ohm,,220.0,509,0.0625,-,,Ω,
41,R180,180 Ohm,,180.0,5,15.0,-,,Ω,
42,154K,154 KOhm,,154000.0,3,0.25,-,,Ω,
43,160K,160 KOhm,,160000.0,17,0.063,-,,Ω,
44,71K5,"71,5 KOhm",,71500.0,16,0.063,-,,Ω,
45,115K,115 KOhm,,115000.0,2,0.25,-,,Ω,
46,R115,115 Ohm,,115.0,100,0.1,-,,Ω,
48,806K,806 KOhm,,860000.0,4,0.25,-,,Ω,
50,R68,68 Ohm,,68.0,10,0.063,-,,Ω,
51,R39,39 Ohm,,39.0,4,1.0,-,,Ω,
52,8K25,"8,25 KOhm",,8250.0,75,0.1,-,,Ω,
53,1K5W01,"1,5 KOhm",,1500.0,100,0.1,-,,Ω,
54,R150,150 Ohm,,150.0,200,0.063,-,,Ω,
55,8K87,"8,87 KOhm",,8870.0,44,0.063,-,,Ω,
56,R250,250 Ohm,,250.0,3,0.063,-,,Ω,
57,R51,51 Ohm,,51.0,9,0.063,-,,Ω,
58,6K04,"6,04 KOhm",,6040.0,80,0.1,-,,Ω,
59,R71,71 Ohm,,71.0,93,0.063,-,,Ω,
60,53K6,"53,6 KOhm",,53600.0,100,100.0,-,,Ω,
61,232K,232 KOhm,,232000.0,4,0.25,-,,Ω,
63,10K7,"10,7 KOhm",,10700.0,80,0.0625,-,,Ω,
64,49K9,"49,9 KOhm",,49900.0,70,0.0625,-,,Ω,
65,R10015W,100 Ohm,,100.0,1,15.0,-,,Ω,
66,99K9,"99,9 KOhm",,99900.0,70,0.0625,-,,Ω,
67,49K90W1,"49,9 KOhm",,49900.0,12,0.1,-,,Ω,
68,P2K,2K POT,Potencjometr,2000.0,24,,-,,Ω,
69,P10K,10K POT,Potencjometr,10000.0,84,,-,,Ω,
70,P100K,100K POT,Potencjometr,100000.0,9,,-,,Ω,
71,rezystory,rezystory,,100000.0,100,,,,Ω,
